Fi'l,Mudari,Masdar,Bengali,Baab
فَعَلَ,يَفْعَلُ,الفِعْلُ,করা,فَتَحَ
فَتَحَ,يَفْتَحُ,الفَتْحُ,খোলা,فَتَحَ
مَدَحَ,يَمْدَحُ,المَدْحُ,প্রশংসা করা,فَتَحَ
رَفَعَ,يَرْفَعُ,الرَفْعُ,উঠানো,فَتَحَ
قَطَعَ,يَقْطَعُ,القَطْعُ,কাটা,فَتَحَ
مَنَعَ,يَمْنَعُ,المَنْعُ,নিষেধ করা,فَتَحَ
طَبَخَ,يَطْبَخُ,الطَبْخُ,রান্না করা,فَتَحَ
زَرَعَ,يَزْرَعُ,الزَرْعُ,চাষ করা,فَتَحَ
نَجَحَ,يَنْجَحُ,النَجَاحُ,সফল হওয়া,فَتَحَ
قَرَأَ,يَقْرَأُ,القِرَاءَةُ,পড়া,فَتَحَ
سَأَلَ,يَسْأَلُ,السُّؤَالُ,প্র্রশ্ন করা,فَتَحَ
مَسَحَ,يَمْسَحُ,المَسْحُ,মোছা,فَتَحَ
ذَهَبَ,يَذْهَبُ,الذَهَابُ,যাওয়া,فَتَحَ
بَدَأَ,يَبْدَأُ,البِدَايَةُ,শুরু করা,فَتَحَ
جَعَلَ,يَجْعَلُ,الجَعْلُ,দেয়া / বানানো,فَتَحَ
نَصَحَ,يَنْصَحُ,النَصِيحَةُ,উপদেশ দেওয়া,فَتَحَ
جَمَعَ,يَجْمَعُ,الجَمْعُ,একত্রিত করা,فَتَحَ
ظَهَرَ,يَظْهَرُ,الظُهُورُ,প্রকাশ পাওয়া,فَتَحَ
رَأَى,يَرَى,الرُؤْيَةُ,দেখা,فَتَحَ
وَقَعَ,يَقَعُ,الوُقُوعُ,সংঘটিত হওয়া,فَتَحَ
وَضَعَ,يَضَعُ,الوَضْعُ,রাখা,فَتَحَ
مَلَأَ,يَمْلَأُ,المَلْءُ,পূর্ণ করা,فَتَحَ
دَفَعَ,يَدْفَعُ,الدَفْعُ,প্রদান করা,فَتَحَ
نَشَأَ,يَنْشَأُ,النَشْأَةُ,বেড়ে উঠা,فَتَحَ
خَلَعَ,يَخْلَعُ,الخَلْعُ,খোলাা,فَتَحَ
نَصَرَ,يَنْصُرُ,النَصْرُ,সহায়তা করা,نَصَرَ
طَلَبَ,يَطْلُبُ,الطَلَبُ,খোজ করা/ চাওয়া,نَصَرَ
خَلَقَ,يَخْلُقُ,الخَلْقُ,সৃষ্টি করা,نَصَرَ
شَكَرَ,يَشْكُرُ,الشُكْرُ,কৃতজ্ঞতা প্রকাশ করা,نَصَرَ
تَرَكَ,يَتْرُكُ,التَرْكُ,ত্যাগ করা,نَصَرَ
مَكَثَ,يَمْكُثُ,المَكْثُ,অবস্থান করা,نَصَرَ
نَشَرَ,يَنْشُرُ,النَشْرُ,ছড়িয়ে দেয়া,نَصَرَ
قَتَلَ,يَقْتُلُ,القَتْلُ,হত্যা করা,نَصَرَ
ذَكَرَ,يَذْكُرُ,الذِكْرُ,স্মরণ করা,نَصَرَ
خَرَجَ,يَخْرُجُ,الخُرُوجُ,বের হওয়া,نَصَرَ
سَكَتَ,يَسْكُتُ,السُكُوتُ,চুপ করা,نَصَرَ
سَجَدَ,يَسْجُدُ,السُجُودُ,সিজদা করা,نَصَرَ
دَخَلَ,يَدْخُلُ,الدُخُولُ,প্রবেশ করা,نَصَرَ
بَلَغَ,يَبْلُغُ,البُلُوغُ,পৌঁছানো,نَصَرَ
دَرَسَ,يَدْرُسُ,الدِرَاسَةُ,অধ্যায়ন করা,نَصَرَ
نَظَرَ,يَنْظُرُ,النَظَرُ,দেখা / লক্ষ করা,نَصَرَ
أَمَرَ,يَأْمُرُ,الأَمْرُ,আদেশ করা,نَصَرَ
نَقَصَ,يَنْقُصُ,النَقْصُ,কমানো,نَصَرَ
أَكَلَ,يَأْكُلُ,الأَكْلُ,খাওয়া,نَصَرَ
أَخَذَ,يَأْخُذُ,الأَخْذُ,নেওয়া / গ্রহন করা,نَصَرَ
شَعَرَ,يَشْعُرُ,الشُعُورُ,অনুভব করা,نَصَرَ
حَصَلَ,يَحْصُلُ,الحُصُولُ,অর্জিত হওয়া,نَصَرَ
سَكَنَ,يَسْكُنُ,السَّكَنُ,বসবাস করা,نَصَرَ
عَبَدَ,يَعْبُدُ,العِبَادَةُ,ইবাদত করা,نَصَرَ
قَالَ,يَقُولُ,القَوْلُ,বলা,نَصَرَ
قَامَ,يَقُومُ,القِيَامُ,দাঁড়ানো,نَصَرَ
سَمِعَ,يَسْمَعُ,السَمْعُ,শোনা,سَمِعَ
شَرِبَ,يَشْرَبُ,الشَّرْبُ,পান করা,سَمِعَ
حَمِدَ,يَحْمَدُ,الحَمْدُ,প্রশংসা করা,سَمِعَ
لَبِسَ,يَلْبَسُ,اللُبْسُ,পরিধান করা,سَمِعَ
رَكِبَ,يَرْكَبُ,الرُكُوبُ,সওয়ার হওয়া,سَمِعَ
قَدِمَ,يَقْدَمُ,القُدُومُ,আগমন করা,سَمِعَ
حَفِظَ,يَحْفَظُ,الحِفْظُ,সংরক্ষণ করা,سَمِعَ
ضَحِكَ,يَضْحَكُ,الضَحْكُ,হাসা,سَمِعَ
عَلِمَ,يَعْلَمُ,العِلْمُ,জানা,سَمِعَ
فَهِمَ,يَفْهَمُ,الفَهْمُ,বোঝা,سَمِعَ
غَضِبَ,يَغْضَبُ,الغَضَبُ,রাগান্বিত হওয়া,سَمِعَ
لَعِبَ,يَلْعَبُ,اللَعِبُ,খেলা,سَمِعَ
حَزِنَ,يَحْزَنُ,الحُزْنُ,চিন্তিত / দুঃখিত হওয়া,سَمِعَ
كَرِهَ,يَكْرَهُ,الكَرَاهَةُ,গ্ঘৃণা করা,سَمِعَ
فَرِحَ,يَفْرَحُ,الفَرْحُ,খুশি হওয়া,سَمِعَ
شَهِدَ,يَشْهَدُ,الشَهَادَةُ,সাক্ষ্য দেওয়া,سَمِعَ
حَذِرَ,يَحْذَرُ,الحَذَرُ,সতর্ক হওয়া,سَمِعَ
