Fi'l,Mudari,Masdar,Bengali,Baab,Amr,Nahi
فَعَلَ,يَفْعَلُ,الفِعْلُ,করা,فَتَحَ,اِفْعَلْ,لا تَفْعَلْ
فَتَحَ,يَفْتَحُ,الفَتْحُ,খোলা,فَتَحَ,اِفْتَحْ,لا تَفْتَحْ
مَدَحَ,يَمْدَحُ,المَدْحُ,প্রশংসা করা,فَتَحَ,اِمْدَحْ,لا تَمْدَحْ
رَفَعَ,يَرْفَعُ,الرَفْعُ,উঠানো,فَتَحَ,اِرْفَعْ,لا تَرْفَعْ
قَطَعَ,يَقْطَعُ,القَطْعُ,কাটা,فَتَحَ,اِقْطَعْ,لا تَقْطَعْ
مَنَعَ,يَمْنَعُ,المَنْعُ,নিষেধ করা,فَتَحَ,اِمْنَعْ,لا تَمْنَعْ
طَبَخَ,يَطْبَخُ,الطَبْخُ,রান্না করা,فَتَحَ,اِطْبَخْ,لا تَطْبَخْ
زَرَعَ,يَزْرَعُ,الزَرْعُ,চাষ করা,فَتَحَ,اِزْرَعْ,لا تَزْرَعْ
نَجَحَ,يَنْجَحُ,النَجَاحُ,সফল হওয়া,فَتَحَ,اِنْجَحْ,لا تَنْجَحْ
قَرَأَ,يَقْرَأُ,القِرَاءَةُ,পড়া,فَتَحَ,اِقْرَأْ,لا تَقْرَأْ
سَأَلَ,يَسْأَلُ,السُّؤَالُ,প্র্রশ্ন করা,فَتَحَ,اِسْأَلْ,لا تَسْأَلْ
مَسَحَ,يَمْسَحُ,المَسْحُ,মোছা,فَتَحَ,اِمْسَحْ,لا تَمْسَحْ
ذَهَبَ,يَذْهَبُ,الذَهَابُ,যাওয়া,فَتَحَ,اِذْهَبْ,لا تَذْهَبْ
بَدَأَ,يَبْدَأُ,البِدَايَةُ,শুরু করা,فَتَحَ,اِبْدَأْ,لا تَبْدَأْ
جَعَلَ,يَجْعَلُ,الجَعْلُ,দেয়া / বানানো,فَتَحَ,اِجْعَلْ,لا تَجْعَلْ
نَصَحَ,يَنْصَحُ,النَصِيحَةُ,উপদেশ দেওয়া,فَتَحَ,اِنْصَحْ,لا تَنْصَحْ
جَمَعَ,يَجْمَعُ,الجَمْعُ,একত্রিত করা,فَتَحَ,اِجْمَعْ,لا تَجْمَعْ
ظَهَرَ,يَظْهَرُ,الظُهُورُ,প্রকাশ পাওয়া,فَتَحَ,اِظْهَرْ,لا تَظْهَرْ
رَأَى,يَرَى,الرُؤْيَةُ,দেখা,فَتَحَ,رَ,لا تَرَ
وَقَعَ,يَقَعُ,الوُقُوعُ,সংঘটিত হওয়া,فَتَحَ,قَعْ,لا تَقَعْ
وَضَعَ,يَضَعُ,الوَضْعُ,রাখা,فَتَحَ,ضَعْ,لا تَضَعْ
مَلَأَ,يَمْلَأُ,المَلْءُ,পূর্ণ করা,فَتَحَ,اِمْلَأْ,لا تَمْلَأْ
دَفَعَ,يَدْفَعُ,الدَفْعُ,প্রদান করা,فَتَحَ,اِدْفَعْ,لا تَدْفَعْ
نَشَأَ,يَنْشَأُ,النَشْأَةُ,বেড়ে উঠা,فَتَحَ,اِنْشَأْ,لا تَنْشَأْ
خَلَعَ,يَخْلَعُ,الخَلْعُ,খোলাা,فَتَحَ,اِخْلَعْ,لا تَخْلَعْ
نَصَرَ,يَنْصُرُ,النَصْرُ,সহায়তা করা,نَصَرَ,اُنْصُرْ,لا تَنْصُرْ
طَلَبَ,يَطْلُبُ,الطَلَبُ,খোজ করা/ চাওয়া,نَصَرَ,اُطْلُبْ,لا تَطْلُبْ
خَلَقَ,يَخْلُقُ,الخَلْقُ,সৃষ্টি করা,نَصَرَ,اُخْلُقْ,لا تَخْلُقْ
شَكَرَ,يَشْكُرُ,الشُكْرُ,কৃতজ্ঞতা প্রকাশ করা,نَصَرَ,اُشْكُرْ,لا تَشْكُرْ
تَرَكَ,يَتْرُكُ,التَرْكُ,ত্যাগ করা,نَصَرَ,اُتْرُكْ,لا تَتْرُكْ
مَكَثَ,يَمْكُثُ,المَكْثُ,অবস্থান করা,نَصَرَ,اُمْكُثْ,لا تَمْكُثْ
نَشَرَ,يَنْشُرُ,النَشْرُ,ছড়িয়ে দেয়া,نَصَرَ,اُنْشُرْ,لا تَنْشُرْ
قَتَلَ,يَقْتُلُ,القَتْلُ,হত্যা করা,نَصَرَ,اُقْتُلْ,لا تَقْتُلْ
ذَكَرَ,يَذْكُرُ,الذِكْرُ,স্মরণ করা,نَصَرَ,اُذْكُرْ,لا تَذْكُرْ
خَرَجَ,يَخْرُجُ,الخُرُوجُ,বের হওয়া,نَصَرَ,اُخْرُجْ,لا تَخْرُجْ
سَكَتَ,يَسْكُتُ,السُكُوتُ,চুপ করা,نَصَرَ,اُسْكُتْ,لا تَسْكُتْ
